dataset,space_dim,method,bidirectional,heal_eigenvectors,vector_accuracy,selection_accuracy,gt_data_mse
emnist,4,label_based,False,False,1.0,1.0,0.00342489592730999
emnist,4,label_based,False,True,1.0,1.0,0.0034673709888011217
emnist,4,label_based,True,False,1.0,1.0,0.00342489592730999
emnist,4,label_based,True,True,1.0,1.0,0.0034673709888011217
emnist,10,label_based,False,False,0.98,0.9183673469387755,0.08343157172203064
emnist,10,label_based,False,True,0.96,0.9791666666666666,0.002627055859193206
emnist,10,label_based,True,False,0.98,1.0,0.024084126576781273
emnist,10,label_based,True,True,0.96,1.0,0.002526241587474942
emnist,16,label_based,False,False,0.890625,0.8245614035087719,0.14504022896289825
emnist,16,label_based,False,True,0.91015625,0.8283261802575107,0.11776350438594818
emnist,16,label_based,True,False,0.890625,0.9824561403508771,0.04143420606851578
emnist,16,label_based,True,True,0.91015625,0.9828326180257511,0.010287350974977016
emnist,22,label_based,False,False,0.7933884297520661,0.6927083333333334,1.096360206604004
emnist,22,label_based,False,True,0.8471074380165289,0.7390243902439024,0.1311502903699875
emnist,22,label_based,True,False,0.7933884297520661,0.4973958333333333,1.1244609355926514
emnist,22,label_based,True,True,0.8471074380165289,0.975609756097561,0.013869327493011951
emnist,28,label_based,False,False,0.6186224489795918,0.7257731958762886,0.3656335175037384
emnist,28,label_based,False,True,0.6785714285714286,0.7161654135338346,0.33422940969467163
emnist,28,label_based,True,False,0.6186224489795918,0.954639175257732,0.07100394368171692
emnist,28,label_based,True,True,0.6785714285714286,0.9342105263157895,0.029660768806934357
mnist,4,label_based,False,False,1.0,1.0,0.008334420621395111
mnist,4,label_based,False,True,1.0,1.0,0.0034926787484437227
mnist,4,label_based,True,False,1.0,1.0,0.008334420621395111
mnist,4,label_based,True,True,1.0,1.0,0.0034926787484437227
mnist,10,label_based,False,False,0.8,0.9,0.06916818022727966
mnist,10,label_based,False,True,0.79,0.9620253164556962,0.009040815755724907
mnist,10,label_based,True,False,0.8,0.9875,0.04358401522040367
mnist,10,label_based,True,True,0.79,1.0,0.008564028888940811
mnist,16,label_based,False,False,0.66796875,0.8128654970760234,0.19687962532043457
mnist,16,label_based,False,True,0.71875,0.875,0.05124149098992348
mnist,16,label_based,True,False,0.66796875,0.9707602339181286,0.10944477468729019
mnist,16,label_based,True,True,0.71875,0.9510869565217391,0.02447214350104332
mnist,22,label_based,False,False,0.5661157024793388,0.6751824817518248,0.9962083697319031
mnist,22,label_based,False,True,0.6239669421487604,0.7317880794701986,0.20668530464172363
mnist,22,label_based,True,False,0.5661157024793388,0.49635036496350365,1.0384411811828613
mnist,22,label_based,True,True,0.6239669421487604,0.8741721854304636,0.053060419857501984
mnist,28,label_based,False,False,0.36607142857142855,0.6445993031358885,1.1194825172424316
mnist,28,label_based,False,True,0.40433673469387754,0.7570977917981072,0.2978041172027588
mnist,28,label_based,True,False,0.36607142857142855,0.5087108013937283,1.1508158445358276
mnist,28,label_based,True,True,0.40433673469387754,0.9652996845425867,0.10437770187854767
